trial,arm,target_index,target_x,target_y,hold_time_seconds,completed_at
1,right,1,1074,402,1.089,2026-09-10T19:59:58
2,right,2,1082,413,1.072,2026-09-10T20:00:00
3,right,3,1082,507,1.071,2026-09-10T20:00:03
4,right,4,1075,500,1.073,2026-09-10T20:00:05
5,right,5,1078,455,1.059,2026-09-10T20:00:07
6,right,1,1074,402,1.1,2026-09-10T20:00:13
7,right,2,1082,413,1.051,2026-09-10T20:00:16
8,right,3,1082,507,1.085,2026-09-10T20:00:20
9,right,4,1075,500,1.073,2026-09-10T20:00:21
10,right,5,1078,455,1.061,2026-09-10T20:00:23
11,right,1,1074,402,1.092,2026-09-10T20:00:26
12,right,2,1082,413,1.071,2026-09-10T20:00:28
